Subject,Sound,Response_preference,Response_score,Response_score_2,Difference_1,Difference_2,Difference_test,Difference_3,Category
102,sɛm.wav,n,0,0,na,1,1,1,n
102,sɛm.wav,r,1,1,-1,na,-1,1,n
101,sɛm.wav,n,0,0,na,1,1,1,n
101,sɛm.wav,r,1,1,-1,na,-1,1,n
108,sɛm.wav,r,2,2,na,-1,-1,1,n
108,sɛm.wav,r,1,1,1,na,1,1,n
123,sʌg.wav,s,2,-2,na,na,na,,n
122,sʌg.wav,n,0,0,na,na,na,,n
121,sʌg.wav,n,0,0,na,na,na,,n
120,sʌg.wav,n,0,0,na,na,na,,n
119,sʌg.wav,s,1,-1,na,na,na,,n
118,sʌg.wav,r,2,2,na,na,na,,n
117,sʌg.wav,s,2,-2,na,na,na,,n
116,sʌg.wav,r,3,3,na,na,na,,n
114,sʌg.wav,r,1,1,na,na,na,,n
113,sʌg.wav,s,2,-2,na,na,na,,n
112,sʌg.wav,s,2,-2,na,na,na,,n
111,sʌg.wav,s,2,-2,na,na,na,,n
110,sʌg.wav,n,0,0,na,na,na,,n
109,sʌg.wav,r,1,1,na,na,na,,n
107,sʌg.wav,s,2,-2,na,na,na,,n
106,sʌg.wav,r,2,2,na,na,na,,n
105,sʌg.wav,r,3,3,na,na,na,,n
104,sʌg.wav,n,0,0,na,na,na,,n
103,sʌg.wav,n,0,0,na,na,na,,n
102,sʌg.wav,r,3,3,na,na,na,,n
101,sʌg.wav,s,1,-1,na,na,na,,n
108,sʌg.wav,s,1,-1,na,na,na,,n
123,vɒg.wav,r,2,2,na,0,0,0,n
123,vɒg.wav,r,2,2,0,na,0,0,n
122,vɒg.wav,r,1,1,na,-1,-1,1,n
122,vɒg.wav,n,0,0,1,na,1,1,n
121,vɒg.wav,n,0,0,na,2,2,2,n
121,vɒg.wav,r,2,2,-2,na,-2,2,n
120,vɒg.wav,s,1,-1,na,-2,-2,2,n
120,vɒg.wav,s,3,-3,2,na,2,2,n
119,vɒg.wav,s,2,-2,na,0,0,0,n
119,vɒg.wav,s,2,-2,0,na,0,0,n
118,vɒg.wav,s,1,-1,na,0,0,0,n
118,vɒg.wav,s,1,-1,0,na,0,0,n
117,vɒg.wav,r,2,2,na,-3,-3,3,n
117,vɒg.wav,s,1,-1,3,na,3,3,n
116,vɒg.wav,s,2,-2,na,0,0,0,n
116,vɒg.wav,s,2,-2,0,na,0,0,n
114,vɒg.wav,s,1,-1,na,3,3,3,n
114,vɒg.wav,r,2,2,-3,na,-3,3,n
113,vɒg.wav,r,3,3,na,-2,-2,2,n
113,vɒg.wav,r,1,1,2,na,2,2,n
112,vɒg.wav,r,2,2,na,1,1,1,n
112,vɒg.wav,r,3,3,-1,na,-1,1,n
111,vɒg.wav,s,1,-1,na,-1,-1,1,n
111,vɒg.wav,s,2,-2,1,na,1,1,n
110,vɒg.wav,s,1,-1,na,1,1,1,n
110,vɒg.wav,n,0,0,-1,na,-1,1,n
109,vɒg.wav,s,1,-1,na,0,0,0,n
109,vɒg.wav,s,1,-1,0,na,0,0,n
107,vɒg.wav,n,0,0,na,0,0,0,n
107,vɒg.wav,n,0,0,0,na,0,0,n
106,vɒg.wav,r,3,3,na,-3,-3,3,n
106,vɒg.wav,n,0,0,3,na,3,3,n
105,vɒg.wav,n,0,0,na,3,3,3,n
105,vɒg.wav,r,3,3,-3,na,-3,3,n
104,vɒg.wav,s,1,-1,na,1,1,1,n
104,vɒg.wav,n,0,0,-1,na,-1,1,n
103,vɒg.wav,n,0,0,na,0,0,0,n
103,vɒg.wav,n,0,0,0,na,0,0,n
102,vɒg.wav,r,2,2,na,-4,-4,4,n
102,vɒg.wav,s,2,-2,4,na,4,4,n
101,vɒg.wav,r,2,2,na,-1,-1,1,n
101,vɒg.wav,r,1,1,1,na,1,1,n
108,vɒg.wav,n,0,0,na,0,0,0,n
108,vɒg.wav,n,0,0,0,na,0,0,n
123,vɒp.wav,s,3,-3,na,5,5,5,n
123,vɒp.wav,r,2,2,-5,na,-5,5,n
122,vɒp.wav,n,0,0,na,1,1,1,n
122,vɒp.wav,r,1,1,-1,na,-1,1,n
121,vɒp.wav,r,2,2,na,-2,-2,2,n
121,vɒp.wav,n,0,0,2,na,2,2,n
120,vɒp.wav,s,1,-1,na,2,2,2,n
120,vɒp.wav,r,1,1,-2,na,-2,2,n
119,vɒp.wav,s,3,-3,na,5,5,5,n
119,vɒp.wav,r,2,2,-5,na,-5,5,n
118,vɒp.wav,r,1,1,na,0,0,0,n
118,vɒp.wav,r,1,1,0,na,0,0,n
117,vɒp.wav,s,2,-2,na,3,3,3,n
117,vɒp.wav,r,1,1,-3,na,-3,3,n
116,vɒp.wav,s,2,-2,na,4,4,4,n
116,vɒp.wav,r,2,2,-4,na,-4,4,n
114,vɒp.wav,r,1,1,na,2,2,2,n
114,vɒp.wav,r,3,3,-2,na,-2,2,n
113,vɒp.wav,r,2,2,na,-1,-1,1,n
113,vɒp.wav,r,1,1,1,na,1,1,n
112,vɒp.wav,r,3,3,na,-2,-2,2,n
112,vɒp.wav,r,1,1,2,na,2,2,n
111,vɒp.wav,r,1,1,na,-1,-1,1,n
111,vɒp.wav,n,0,0,1,na,1,1,n
110,vɒp.wav,n,0,0,na,-2,-2,2,n
110,vɒp.wav,s,2,-2,2,na,2,2,n
109,vɒp.wav,s,2,-2,na,1,1,1,n
109,vɒp.wav,s,1,-1,-1,na,-1,1,n
107,vɒp.wav,r,2,2,na,0,0,0,n
107,vɒp.wav,r,2,2,0,na,0,0,n
106,vɒp.wav,r,2,2,na,-2,-2,2,n
106,vɒp.wav,n,0,0,2,na,2,2,n
105,vɒp.wav,r,2,2,na,1,1,1,n
105,vɒp.wav,r,3,3,-1,na,-1,1,n
104,vɒp.wav,n,0,0,na,0,0,0,n
104,vɒp.wav,n,0,0,0,na,0,0,n
103,vɒp.wav,n,0,0,na,0,0,0,n
103,vɒp.wav,n,0,0,0,na,0,0,n
102,vɒp.wav,s,2,-2,na,2,2,2,n
102,vɒp.wav,n,0,0,-2,na,-2,2,n
101,vɒp.wav,s,2,-2,na,0,0,0,n
101,vɒp.wav,s,2,-2,0,na,0,0,n
108,vɒp.wav,n,0,0,na,0,0,0,n
108,vɒp.wav,n,0,0,0,na,0,0,n
123,vin.wav,r,2,2,na,-4,-4,4,n
123,vin.wav,s,2,-2,4,na,4,4,n
122,vin.wav,n,0,0,na,0,0,0,n
122,vin.wav,n,0,0,0,na,0,0,n
121,vin.wav,n,0,0,na,0,0,0,n
121,vin.wav,n,0,0,0,na,0,0,n
120,vin.wav,s,1,-1,na,0,0,0,n
120,vin.wav,s,1,-1,0,na,0,0,n
119,vin.wav,r,2,2,na,0,0,0,n
119,vin.wav,r,2,2,0,na,0,0,n
118,vin.wav,r,1,1,na,1,1,1,n
118,vin.wav,r,2,2,-1,na,-1,1,n
117,vin.wav,s,2,-2,na,3,3,3,n
117,vin.wav,r,1,1,-3,na,-3,3,n
116,vin.wav,r,2,2,na,-3,-3,3,n
116,vin.wav,s,1,-1,3,na,3,3,n
114,vin.wav,r,2,2,na,-3,-3,3,n
114,vin.wav,s,1,-1,3,na,3,3,n
113,vin.wav,n,0,0,na,3,3,3,n
113,vin.wav,r,3,3,-3,na,-3,3,n
112,vin.wav,r,1,1,na,0,0,0,n
112,vin.wav,r,1,1,0,na,0,0,n
111,vin.wav,s,2,-2,na,1,1,1,n
111,vin.wav,s,1,-1,-1,na,-1,1,n
110,vin.wav,r,1,1,na,-1,-1,1,n
110,vin.wav,n,0,0,1,na,1,1,n
109,vin.wav,n,0,0,na,-2,-2,2,n
109,vin.wav,s,2,-2,2,na,2,2,n
107,vin.wav,r,1,1,na,-1,-1,1,n
107,vin.wav,n,0,0,1,na,1,1,n
106,vin.wav,s,3,-3,na,1,1,1,n
106,vin.wav,s,2,-2,-1,na,-1,1,n
105,vin.wav,s,1,-1,na,1,1,1,n
105,vin.wav,n,0,0,-1,na,-1,1,n
104,vin.wav,n,0,0,na,0,0,0,n
104,vin.wav,n,0,0,0,na,0,0,n
103,vin.wav,n,0,0,na,-1,-1,1,n
103,vin.wav,s,1,-1,1,na,1,1,n
102,vin.wav,s,1,-1,na,3,3,3,n
102,vin.wav,r,2,2,-3,na,-3,3,n
101,vin.wav,r,1,1,na,0,0,0,n
101,vin.wav,r,1,1,0,na,0,0,n
108,vin.wav,r,1,1,na,0,0,0,n
108,vin.wav,r,1,1,0,na,0,0,n
123,vʌd.wav,r,1,1,na,-4,-4,4,n
123,vʌd.wav,s,3,-3,4,na,4,4,n
122,vʌd.wav,n,0,0,na,0,0,0,n
122,vʌd.wav,n,0,0,0,na,0,0,n
121,vʌd.wav,n,0,0,na,0,0,0,n
121,vʌd.wav,n,0,0,0,na,0,0,n
120,vʌd.wav,r,1,1,na,-3,-3,3,n
120,vʌd.wav,s,2,-2,3,na,3,3,n
119,vʌd.wav,s,2,-2,na,4,4,4,n
119,vʌd.wav,r,2,2,-4,na,-4,4,n
118,vʌd.wav,s,2,-2,na,1,1,1,n
118,vʌd.wav,s,1,-1,-1,na,-1,1,n
117,vʌd.wav,s,1,-1,na,1,1,1,n
117,vʌd.wav,n,0,0,-1,na,-1,1,n
116,vʌd.wav,s,2,-2,na,1,1,1,n
116,vʌd.wav,s,1,-1,-1,na,-1,1,n
114,vʌd.wav,r,1,1,na,-2,-2,2,n
114,vʌd.wav,s,1,-1,2,na,2,2,n
113,vʌd.wav,s,3,-3,na,4,4,4,n
113,vʌd.wav,r,1,1,-4,na,-4,4,n
112,vʌd.wav,r,1,1,na,1,1,1,n
112,vʌd.wav,r,2,2,-1,na,-1,1,n
111,vʌd.wav,r,2,2,na,-2,-2,2,n
111,vʌd.wav,n,0,0,2,na,2,2,n
110,vʌd.wav,s,2,-2,na,0,0,0,n
110,vʌd.wav,s,2,-2,0,na,0,0,n
109,vʌd.wav,s,1,-1,na,0,0,0,n
109,vʌd.wav,s,1,-1,0,na,0,0,n
107,vʌd.wav,r,2,2,na,0,0,0,n
107,vʌd.wav,r,2,2,0,na,0,0,n
106,vʌd.wav,n,0,0,na,-2,-2,2,n
106,vʌd.wav,s,2,-2,2,na,2,2,n
105,vʌd.wav,n,0,0,na,1,1,1,n
105,vʌd.wav,r,1,1,-1,na,-1,1,n
104,vʌd.wav,n,0,0,na,0,0,0,n
104,vʌd.wav,n,0,0,0,na,0,0,n
103,vʌd.wav,n,0,0,na,0,0,0,n
103,vʌd.wav,n,0,0,0,na,0,0,n
102,vʌd.wav,n,0,0,na,1,1,1,n
102,vʌd.wav,r,1,1,-1,na,-1,1,n
101,vʌd.wav,r,1,1,na,1,1,1,n
101,vʌd.wav,r,2,2,-1,na,-1,1,n
108,vʌd.wav,r,2,2,na,0,0,0,n
108,vʌd.wav,r,2,2,0,na,0,0,n
